Stayin' Alive,Bee Gees
Crawling,Linkin Park
Bodies,Drowning Pool
Master of Puppets,Metallica
Let's Groove,Earth Wind & Fire
Smells Like Teen Spirit,Nirvana
Livin' on a Prayer,Bon Jovi
Renegade,Styx
Kung Fu Fighting,Carl Douglas
Maxwell's Silver Hammer,The Beatles
Hell's Bells,AC/DC
House of the Rising Sun,Five Finger Death Punch
Don't Stop Me Now!,Queen
Megitsune,Baby Metal
Du Hast,Rammstein
99 Luftballons,Nena
November Rain,Guns N' Roses
All Star,Smash Mouth
Gangnam Style,PSY
Axel F,Harold Faltermeyer
